nb_aphids,nb_paddy
135,0
135,8552
135,8552
135,8552
135,8547
135,8546
135,8538
138,8448
139,8447
139,8446
139,8444
139,8441
137,8440
138,8438
138,8436
137,8436
137,8433
136,8433
134,8432
133,8430
131,8429
123,8428
106,8426
91,8424
74,8423
60,8422
50,8421
39,8421
38,8420
37,8419
37,8416
39,8415
39,8414
38,8412
38,8412
38,8411
37,8410
37,8408
38,8408
38,8408
39,8408
38,8408
36,8408
36,8408
39,8407
39,8407
39,8407
36,8407
36,8405
36,8404
35,8403
36,8402
36,8402
37,8402
40,8402
40,8402
40,8402
39,8401
40,8401
40,8400
37,8399
36,8398
36,8398
36,8398
35,8398
39,8398
39,8398
37,8398
37,8398
36,8396
36,8395
36,8395
36,8394
35,8394
33,8393
33,8392
33,8392
34,8392
34,8391
34,8390
34,8389
36,8389
39,8389
38,8389
39,8388
39,8387
42,8387
43,8387
43,8387
43,8387
46,8386
46,8384
48,8382
47,8382
49,8382
49,8380
49,8380
46,8378
45,8378
43,8377
42,8376
39,8376
38,8376
39,8376
38,8376
39,8375
38,8374
37,8374
38,8374
37,8372
37,8372
37,8371
37,8371
37,8371
39,8370
39,8368
39,8368
42,8368
42,8368
40,8367
40,8367
40,8367
40,8366
40,8365
40,8365
41,8365
41,8364
40,8364
39,8364
41,8364
40,8364
40,8364
40,8364
40,8364
40,8364
41,8362
41,8362
41,8362
40,8362
41,8361
41,8360
44,8359
46,8358
51,8358
51,8358
51,8358
51,8356
51,8354
51,8352
51,8351
52,8350
52,8349
50,8349
53,8349
52,8348
52,8348
52,8348
50,8346
49,8346
51,8345
54,8345
52,8345
53,8344
54,8343
53,8343
55,8343
54,8343
53,8342
53,8342
51,8342
50,8342
50,8342
50,8342
49,8342
47,8341
49,8341
48,8341
51,8340
51,8339
47,8338
46,8337
46,8335
46,8334
48,8334
48,8334
48,8334
48,8333
48,8332
51,8331
51,8331
51,8331
50,8331
50,8329
50,8327
49,8326
49,8325
49,8325
46,8324
45,8323
43,8323
43,8322
43,8322
47,8322
47,8322
44,8321
46,8319
49,8319
49,8319
54,8318
54,8316
54,8316
54,8316
54,8316
54,8315
54,8314
55,8313
58,8311
56,8311
53,8311
52,8311
52,8310
52,8308
50,8308
49,8307
48,8306
49,8306
50,8306
48,8306
51,8306
51,8306
51,8306
54,8306
52,8305
51,8304
48,8304
48,8303
46,8303
47,8303
47,8302
47,8301
46,8301
46,8301
49,8301
49,8301
50,8301
50,8300
49,8297
49,8297
47,8297
47,8296
47,8295
47,8295
49,8295
50,8295
50,8295
50,8295
50,8294
50,8294
50,8292
50,8291
51,8290
51,8288
47,8287
47,8287
45,8287
45,8287
48,8286
47,8285
48,8284
49,8284
49,8284
50,8283
50,8283
52,8283
52,8281
51,8281
51,8281
50,8280
50,8279
50,8278
52,8278
52,8277
55,8275
55,8275
55,8275
54,8275
52,8275
53,8275
52,8275
52,8274
52,8273
52,8273
53,8273
55,8273
55,8273
56,8271
56,8270
57,8270
58,8267
58,8265
56,8265
56,8265
56,8265
56,8264
56,8263
56,8263
56,8263
56,8263
57,8263
57,8263
57,8263
58,8262
57,8262
59,8261
58,8261
58,8260
58,8259
58,8259
55,8259
57,8259
57,8259
59,8259
59,8259
58,8259
58,8258
65,8256
67,8255
65,8255
67,8255
67,8253
69,8251
65,8250
68,8250
69,8249
69,8249
69,8249
72,8248
70,8248
71,8247
71,8246
70,8244
67,8244
66,8244
66,8243
68,8243
66,8240
68,8239
68,8238
68,8237
67,8235
66,8235
66,8235
66,8233
63,8231
63,8231
61,8231
60,8231
60,8230
61,8230
60,8230
60,8230
60,8230
60,8228
60,8228
66,8227
66,8226
64,8226
65,8225
65,8223
67,8223
66,8223
65,8223
63,8222
62,8222
60,8222
60,8222
61,8222
59,8222
62,8222
61,8222
60,8222
62,8220
61,8218
61,8217
59,8215
59,8215
59,8213
59,8212
58,8210
58,8210
59,8209
64,8209
64,8209
64,8208
65,8208
67,8208
70,8207
67,8207
69,8205
69,8204
64,8203
63,8202
63,8201
63,8201
64,8201
64,8200
67,8200
68,8200
71,8200
71,8199
70,8197
71,8197
74,8196
74,8196
73,8196
72,8195
71,8195
67,8193
66,8192
66,8192
66,8192
65,8192
62,8191
68,8190
69,8190
68,8190
68,8189
67,8188
77,8187
79,8186
78,8183
77,8183
76,8180
75,8178
73,8175
72,8174
71,8174
70,8174
70,8174
72,8173
70,8171
70,8169
72,8168
70,8168
71,8166
69,8166
68,8165
68,8164
66,8163
65,8162
65,8162
65,8161
66,8161
68,8161
71,8161
70,8161
70,8160
69,8160
69,8159
69,8159
72,8159
72,8159
69,8159
69,8158
71,8157
70,8156
74,8156
76,8156
79,8155
82,8154
80,8151
80,8149
81,8148
80,8147
80,8146
79,8146
79,8145
78,8143
77,8141
77,8139
74,8139
72,8139
74,8139
72,8139
72,8138
73,8136
80,8136
78,8136
76,8135
73,8135
78,8135
76,8133
77,8132
80,8130
79,8128
77,8128
80,8126
81,8126
84,8126
81,8125
82,8124
84,8123
84,8123
86,8121
85,8120
87,8120
82,8120
78,8118
78,8118
78,8117
73,8117
73,8116
71,8116
71,8116
68,8116
68,8116
68,8115
69,8114
70,8114
73,8114
76,8114
75,8113
75,8110
74,8109
75,8108
75,8106
78,8103
80,8102
77,8101
77,8100
78,8098
78,8096
78,8095
78,8095
78,8093
77,8093
74,8093
74,8090
76,8089
76,8087
81,8086
83,8083
87,8082
87,8079
90,8077
90,8075
88,8072
89,8066
89,8064
90,8062
93,8062
95,8060
98,8059
97,8058
100,8055
100,8054
98,8054
96,8053
96,8051
98,8050
96,8050
97,8050
96,8049
96,8049
96,8046
94,8045
91,8044
86,8043
85,8043
87,8041
86,8041
90,8040
90,8039
91,8038
90,8036
88,8033
88,8032
89,8030
90,8028
92,8025
91,8024
91,8021
89,8018
89,8015
92,8015
91,8012
97,8010
96,8010
96,8008
94,8004
96,8002
95,8000
97,8000
97,7998
95,7996
91,7995
89,7993
87,7992
90,7992
94,7991
95,7989
96,7988
93,7988
92,7987
93,7984
97,7983
95,7982
91,7982
93,7981
91,7980
88,7977
88,7977
94,7976
100,7976
99,7974
98,7974
97,7971
100,7968
100,7966
98,7964
101,7962
98,7962
100,7962
103,7962
102,7961
102,7960
99,7957
97,7957
96,7956
92,7955
92,7952
89,7951
83,7950
80,7949
82,7948
82,7945
84,7945
85,7942
89,7940
88,7938
91,7937
93,7934
93,7932
93,7931
91,7928
90,7927
90,7927
88,7926
86,7924
91,7924
90,7922
90,7921
89,7921
90,7921
88,7920
91,7920
92,7920
93,7919
94,7917
96,7916
92,7915
92,7914
91,7911
91,7909
91,7908
92,7907
91,7903
94,7902
96,7902
97,7902
97,7902
94,7902
95,7902
95,7901
97,7900
98,7900
93,7900
92,7900
89,7899
86,7897
86,7896
84,7894
85,7894
84,7894
84,7894
84,7893
90,7893
90,7892
91,7889
92,7888
93,7887
94,7887
96,7887
96,7886
94,7884
92,7883
92,7882
92,7881
90,7880
89,7879
92,7878
95,7878
95,7878
98,7878
94,7876
93,7874
91,7873
88,7870
88,7869
88,7869
91,7867
91,7866
91,7865
89,7865
89,7865
89,7862
88,7860
88,7860
92,7859
94,7859
93,7857
95,7856
98,7854
101,7853
101,7851
106,7848
110,7848
114,7847
113,7846
115,7846
115,7842
115,7842
108,7840
109,7840
106,7838
108,7834
108,7834
106,7833
103,7830
103,7829
104,7829
107,7828
106,7827
105,7827
103,7826
103,7825
101,7823
94,7822
92,7821
93,7821
95,7821
100,7821
100,7821
100,7819
93,7819
90,7818
92,7818
94,7818
90,7818
90,7816
85,7815
85,7814
85,7814
85,7813
85,7813
84,7813
85,7813
88,7812
86,7812
89,7811
88,7811
87,7811
88,7809
88,7808
90,7808
91,7808
87,7807
87,7806
84,7806
81,7806
84,7806
87,7805
87,7805
85,7805
84,7804
83,7802
83,7801
84,7801
86,7801
86,7801
86,7799
88,7799
91,7798
90,7798
90,7798
86,7798
89,7797
87,7796
87,7795
85,7793
78,7793
75,7793
75,7790
78,7790
81,7790
80,7790
78,7790
78,7789
78,7789
78,7789
80,7789
82,7788
83,7788
81,7788
81,7787
81,7787
82,7784
81,7783
82,7782
79,7781
79,7778
78,7777
81,7775
81,7773
84,7772
86,7772
87,7771
87,7771
86,7768
85,7768
88,7767
88,7766
87,7766
88,7766
93,7766
92,7766
99,7766
99,7766
101,7763
99,7763
97,7762
96,7760
96,7759
96,7758
97,7758
96,7757
95,7755
94,7755
91,7755
91,7753
92,7752
92,7752
94,7752
96,7752
93,7752
95,7751
90,7751
89,7751
89,7751
94,7751
96,7751
92,7751
88,7751
88,7751
90,7749
91,7749
94,7749
92,7749
86,7748
86,7747
83,7747
86,7745
86,7745
83,7743
82,7743
80,7742
79,7740
79,7738
82,7738
82,7738
81,7738
82,7737
88,7737
88,7736
86,7735
84,7733
87,7733
90,7733
90,7733
92,7732
90,7731
85,7730
84,7729
87,7729
88,7729
86,7727
85,7727
87,7726
83,7726
82,7726
84,7725
81,7725
83,7725
79,7725
78,7725
77,7724
81,7724
78,7722
78,7721
76,7720
75,7718
70,7717
72,7716
69,7716
68,7716
68,7716
71,7715
76,7712
77,7712
81,7711
85,7710
84,7709
82,7708
85,7706
85,7704
84,7703
80,7702
79,7702
79,7702
78,7701
76,7700
82,7700
74,7700
71,7699
69,7699
71,7698
70,7697
70,7697
69,7697
67,7697
68,7697
71,7697
70,7697
69,7697
65,7697
65,7695
64,7695
63,7695
64,7695
64,7695
63,7694
62,7694
62,7694
62,7693
64,7692
64,7692
63,7691
66,7690
69,7688
68,7687
70,7687
67,7687
67,7685
63,7685
65,7685
64,7685
63,7685
62,7684
61,7683
59,7682
61,7682
58,7682
61,7682
61,7681
59,7681
60,7680
59,7680
57,7680
57,7680
56,7680
56,7680
56,7680
55,7679
56,7679
53,7678
52,7678
54,7678
56,7678
54,7678
54,7678
58,7678
61,7678
61,7678
61,7677
62,7677
60,7677
62,7676
60,7675
62,7675
61,7675
61,7675
61,7675
61,7673
59,7673
59,7673
61,7672
64,7671
62,7670
61,7670
58,7670
58,7669
60,7669
59,7669
61,7669
61,7668
61,7667
65,7667
64,7667
63,7666
64,7665
61,7664
60,7663
59,7663
58,7663
58,7663
60,7663
57,7663
58,7663
59,7663
63,7663
62,7663
61,7661
62,7661
62,7659
64,7659
69,7659
67,7658
63,7658
62,7658
62,7656
61,7656
61,7656
64,7655
61,7655
58,7655
59,7655
62,7655
64,7654
64,7653
61,7653
60,7653
60,7653
57,7653
56,7653
56,7653
51,7653
49,7653
49,7653
54,7653
54,7653
55,7653
55,7652
54,7652
52,7652
52,7651
52,7651
50,7651
50,7651
50,7651
53,7651
55,7651
54,7651
54,7651
54,7650
57,7650
57,7650
57,7650
57,7649
57,7648
56,7648
56,7648
56,7648
57,7648
57,7648
57,7648
56,7648
58,7648
60,7648
59,7647
60,7647
64,7647
62,7647
62,7647
62,7644
60,7644
57,7643
57,7642
56,7642
56,7642
56,7642
58,7642
58,7642
57,7642
55,7642
54,7642
54,7642
51,7639
52,7639
53,7639
53,7639
53,7639
54,7639
54,7639
53,7639
53,7638
53,7638
53,7638
53,7638
53,7638
53,7638
52,7638
52,7638
54,7638
54,7638
53,7638
53,7638
56,7638
56,7638
57,7638
57,7638
60,7638
58,7637
58,7636
59,7636
59,7636
59,7635
62,7634
63,7634
63,7634
61,7634
62,7634
62,7633
66,7633
66,7633
68,7633
67,7633
70,7633
71,7631
69,7631
69,7631
70,7631
70,7630
73,7630
72,7629
71,7629
70,7629
71,7627
71,7627
71,7627
71,7627
71,7627
71,7627
68,7627
70,7627
70,7624
69,7624
70,7624
69,7622
71,7621
70,7620
70,7619
71,7619
69,7618
69,7618
66,7617
65,7617
70,7616
75,7616
75,7616
75,7616
78,7612
78,7612
79,7612
79,7612
78,7612
76,7612
72,7612
72,7612
70,7611
71,7610
71,7610
71,7610
68,7610
67,7609
69,7608
70,7608
69,7608
71,7608
72,7608
72,7608
72,7608
74,7608
77,7607
75,7606
74,7606
77,7606
78,7606
76,7606
76,7606
74,7606
72,7605
69,7604
71,7603
71,7602
70,7600
70,7600
72,7599
