nb_aphids,nb_paddy
135,0
132,8552
132,8542
127,8542
123,8542
121,8542
115,8538
113,8458
109,8457
108,8455
108,8454
108,8453
111,8453
111,8453
111,8452
111,8450
114,8450
114,8449
114,8448
113,8446
113,8446
107,8446
98,8446
85,8446
72,8446
61,8445
42,8444
31,8442
31,8442
30,8442
30,8442
30,8442
29,8441
29,8441
29,8441
29,8439
29,8438
32,8435
31,8433
31,8433
32,8432
31,8432
34,8432
34,8432
34,8431
34,8430
34,8430
34,8430
37,8430
37,8430
36,8430
36,8429
36,8428
34,8428
36,8428
35,8428
35,8427
32,8427
30,8426
30,8425
30,8424
30,8424
30,8424
30,8424
29,8423
29,8423
29,8423
29,8423
29,8423
29,8421
29,8420
29,8419
29,8419
29,8418
28,8417
27,8416
27,8416
27,8415
26,8413
26,8413
26,8413
26,8413
29,8413
29,8413
29,8413
32,8413
32,8412
32,8412
32,8412
32,8411
34,8411
34,8411
34,8411
33,8411
33,8410
36,8410
39,8410
39,8410
39,8409
37,8408
37,8408
37,8408
34,8407
34,8407
34,8407
32,8407
30,8407
32,8407
31,8407
31,8406
32,8405
31,8405
31,8405
31,8404
31,8404
33,8404
34,8404
36,8404
36,8404
36,8404
36,8403
36,8403
36,8402
35,8401
35,8401
34,8400
34,8400
36,8400
36,8400
36,8400
36,8399
36,8398
36,8398
36,8398
36,8398
34,8398
34,8396
37,8396
37,8396
37,8396
37,8396
36,8396
35,8396
36,8394
37,8394
36,8394
36,8394
36,8393
37,8393
41,8393
41,8393
44,8393
46,8392
46,8391
48,8390
50,8390
50,8390
55,8390
57,8388
57,8386
55,8386
54,8385
54,8383
52,8383
51,8382
51,8382
51,8382
51,8380
51,8378
50,8377
50,8376
51,8375
49,8375
49,8374
48,8373
48,8373
49,8372
48,8371
50,8371
50,8371
52,8371
52,8370
54,8369
53,8367
53,8366
53,8365
55,8364
54,8363
54,8363
54,8363
54,8363
54,8363
54,8362
57,8362
57,8362
57,8362
57,8362
57,8362
55,8361
54,8361
54,8361
54,8360
53,8360
52,8360
52,8360
51,8360
51,8359
51,8359
51,8358
51,8358
51,8357
51,8357
50,8356
55,8355
57,8354
56,8353
59,8353
58,8352
58,8348
58,8345
58,8343
60,8342
60,8342
60,8341
60,8340
63,8338
63,8338
63,8338
63,8337
64,8337
66,8336
65,8335
63,8335
60,8332
57,8332
60,8332
59,8331
57,8331
54,8331
54,8330
54,8328
53,8328
56,8328
56,8328
56,8328
58,8327
58,8325
59,8325
59,8324
59,8324
59,8324
59,8324
59,8324
64,8324
64,8324
65,8324
65,8324
68,8323
69,8323
69,8320
72,8319
